tag time posX posY posZ rotX rotY rotZ rotW
head 971.909 -0.0196606 -0.0544235 0.998324 0.680779 0.00432251 -0.00663963 0.00432251
hip 971.909 -0.0478916 -0.0459507 0.997795 0.542181 -0.00335348 -0.0104728 -0.00335348
lHand 971.909 0.212216 0.13439 0.967938 0.62374 0.300746 -0.482383 0.300746
rHand 971.909 -0.251056 0.134109 0.958637 0.590222 -0.464646 0.517166 -0.464646
lFoot 971.909 0.489369 -0.333176 0.805923 -0.983699 0.0560289 -0.0418145 0.0560289
rFoot 971.909 -0.840252 0.0650888 0.538275 -0.98344 0.0412868 0.0250595 0.0412868
head 971.92 -0.0196115 -0.0544341 0.998325 0.680749 0.0039662 -0.00677294 0.0039662
hip 971.92 -0.0478827 -0.0454293 0.997819 0.542902 -0.00343805 -0.0106171 -0.00343805
lHand 971.92 0.217968 0.136424 0.966374 0.63207 0.281571 -0.484068 0.281571
rHand 971.92 -0.250997 0.134127 0.95865 0.590234 -0.464651 0.517247 -0.464651
lFoot 971.92 0.488519 -0.333435 0.806331 -0.983699 0.0560605 -0.0416786 0.0560605
rFoot 971.92 -0.840004 0.064314 0.538755 -0.983443 0.0413354 0.0251214 0.0413354
head 971.932 -0.0195959 -0.0543765 0.998328 0.680719 0.00351975 -0.00686086 0.00351975
hip 971.932 -0.0478639 -0.0450847 0.997836 0.543486 -0.003523 -0.0107979 -0.003523
lHand 971.932 0.226463 0.139084 0.964039 0.643469 0.257426 -0.485794 0.257426
rHand 971.932 -0.25103 0.134231 0.958627 0.59024 -0.464598 0.517238 -0.464598
lFoot 971.932 0.48837 -0.333187 0.806524 -0.98369 0.0561317 -0.0416044 0.0561317
rFoot 971.932 -0.840097 0.0645787 0.538579 -0.983432 0.0413218 0.0251667 0.0413218
head 971.943 -0.0195085 -0.0543878 0.998329 0.68072 0.00307035 -0.00702531 0.00307035
hip 971.943 -0.0478424 -0.0446919 0.997855 0.544174 -0.00350674 -0.0109177 -0.00350674
lHand 971.943 0.233478 0.135122 0.962928 0.637309 0.252151 -0.469894 0.252151
rHand 971.943 -0.250873 0.134238 0.958667 0.59031 -0.464404 0.517289 -0.464404
lFoot 971.943 0.489237 -0.334004 0.80566 -0.983698 0.055948 -0.0416783 0.055948
rFoot 971.943 -0.839679 0.0645714 0.53923 -0.983431 0.041259 0.0252361 0.041259
head 971.955 -0.0195506 -0.0544098 0.998327 0.680689 0.00289853 -0.00742972 0.00289853
