tag time posX posY posZ rotX rotY rotZ rotW
head 2095.5 0.0646469 -0.0541676 0.996437 0.681001 -0.0104664 -0.0029506 -0.0104664
hip 2095.5 0.0892873 -0.0641101 0.99394 0.560858 0.0291651 0.00963128 0.0291651
lHand 2095.5 0.460789 -0.0514829 0.886015 0.255453 0.274158 -0.899946 0.274158
rHand 2095.5 -0.25307 -0.0213594 0.967212 0.224217 -0.364302 0.891954 -0.364302
lFoot 2095.5 0.949409 -0.0132431 0.313762 0.979049 0.0691383 0.0502691 0.0691383
rFoot 2095.5 -0.291258 -0.784748 0.547119 -0.986104 -0.0734254 0.0629175 -0.0734254
head 2095.51 0.0647501 -0.0541239 0.996433 0.68122 -0.0104671 -0.00311065 -0.0104671
hip 2095.51 0.0892359 -0.0636384 0.993975 0.561034 0.029023 0.00938788 0.029023
lHand 2095.51 0.4609 -0.0518261 0.885938 0.255293 0.273833 -0.900053 0.273833
rHand 2095.51 -0.253464 -0.0215442 0.967105 0.225711 -0.363418 0.892093 -0.363418
lFoot 2095.51 0.949596 -0.0131079 0.313204 0.979062 0.0690057 0.0503097 0.0690057
rFoot 2095.51 -0.291496 -0.784764 0.54697 -0.9861 -0.0733534 0.062997 -0.0733534
head 2095.52 0.0647326 -0.0540373 0.996439 0.681392 -0.0103561 -0.00325867 -0.0103561
hip 2095.52 0.0893127 -0.06348 0.993979 0.561114 0.0289082 0.00918751 0.0289082
lHand 2095.52 0.461025 -0.0520445 0.88586 0.255413 0.27351 -0.900056 0.27351
rHand 2095.52 -0.252026 -0.0216616 0.967478 0.223954 -0.36233 0.893524 -0.36233
lFoot 2095.52 0.949604 -0.0132611 0.313171 0.979098 0.0687757 0.0502157 0.0687757
rFoot 2095.52 -0.291538 -0.784764 0.546948 -0.986102 -0.0733537 0.0629512 -0.0733537
head 2095.53 0.06481 -0.0539658 0.996437 0.681565 -0.0104408 -0.00334981 -0.0104408
hip 2095.53 0.0908213 -0.0665433 0.993641 0.561252 0.0288188 0.00879049 0.0288188
lHand 2095.53 0.461001 -0.0520167 0.885874 0.255181 0.273501 -0.900073 0.273501
rHand 2095.53 -0.251023 -0.021951 0.967732 0.22216 -0.361158 0.894631 -0.361158
lFoot 2095.53 0.949795 -0.0131031 0.312598 0.979141 0.0685574 0.0502552 0.0685574
rFoot 2095.53 -0.292058 -0.784843 0.546556 -0.986099 -0.0735318 0.0629788 -0.0735318
head 2095.54 0.0648769 -0.053884 0.996437 0.681758 -0.0104499 -0.00353256 -0.0104499
hip 2095.54 0.0908379 -0.06618 0.993664 0.561118 0.0285473 0.008498 0.0285473
lHand 2095.54 0.460811 -0.0519356 0.885977 0.254578 0.273481 -0.900245 0.273481
rHand 2095.54 -0.249782 -0.0217666 0.968057 0.220187 -0.360885 0.895512 -0.360885
