Iterations ø;Reached [%];Error ø;Error Min;Error Max;Time ø [us]
2.08243;0.543351;0.257811;4.13826e-07;1.13943;93.8127
2.09906;0.536613;0.266637;4.13826e-07;1.13943;82.9993
2.08805;0.535939;0.26665;4.13826e-07;1.13943;98.4928
2.08783;0.535939;0.266649;4.13826e-07;1.13943;98.1348
2.08895;0.536164;0.26665;4.13826e-07;1.14021;98.3951
2.08962;0.536164;0.266644;4.13826e-07;1.14021;98.139
2.09659;0.536613;0.266653;4.13826e-07;1.14021;96.0155
2.08872;0.536388;0.26664;4.13826e-07;1.14021;96.8562
2.09052;0.535939;0.266651;4.13826e-07;1.14021;98.7877
2.09164;0.535939;0.266651;4.13826e-07;1.14021;98.4342
2.08872;0.535939;0.266647;4.13826e-07;1.14021;98.3839
2.08805;0.536613;0.266635;4.13826e-07;1.14021;98.5811
2.08783;0.536388;0.26664;4.13826e-07;1.14021;96.0355
2.09119;0.536388;0.266646;4.13826e-07;1.14021;96.7826
2.0876;0.536388;0.266644;4.13826e-07;1.14021;98.5162
2.09232;0.536388;0.266653;4.13826e-07;1.14021;98.1078
2.08895;0.536613;0.266633;4.13826e-07;1.14021;98.6518
2.09434;0.536613;0.266646;4.13826e-07;1.14021;98.0002
2.09209;0.537287;0.266638;4.13826e-07;1.14021;92.451
2.09434;0.537287;0.26664;4.13826e-07;1.14021;92.4876
2.09389;0.537287;0.266634;4.13826e-07;1.14021;93.5809
2.0885;0.537287;0.266634;4.13826e-07;1.14021;95.3178
2.09816;0.537287;0.266637;4.13826e-07;1.14021;91.8697
