tag time posX posY posZ rotX rotY rotZ rotW
head 650.849 0.0287076 -0.112846 0.993198 0.637562 0.0434727 0.0827203 0.0434727
hip 650.849 0.0544776 -0.10385 0.9931 0.583318 -0.0111292 -0.0221665 -0.0111292
lHand 650.849 0.384172 -0.25229 0.888123 -0.0564741 0.368876 -0.925391 0.368876
rHand 650.849 -0.239657 -0.292757 0.925666 -0.0824057 0.363509 -0.921276 0.363509
lFoot 650.849 0.740433 -0.613632 0.274251 -0.985584 0.0622562 -0.0798023 0.0622562
rFoot 650.849 -0.433384 -0.747308 0.503695 -0.981339 0.0943093 0.033495 0.0943093
head 650.861 0.0286091 -0.112893 0.993195 0.637653 0.0433156 0.0826669 0.0433156
hip 650.861 0.0544666 -0.104045 0.99308 0.583075 -0.0112418 -0.022242 -0.0112418
lHand 650.861 0.384273 -0.252699 0.887963 -0.0556563 0.367806 -0.925849 0.367806
rHand 650.861 -0.239742 -0.293469 0.925419 -0.0828795 0.359189 -0.922356 0.359189
lFoot 650.861 0.740408 -0.613577 0.274443 -0.98556 0.0625426 -0.0798105 0.0625426
rFoot 650.861 -0.433475 -0.747117 0.5039 -0.981318 0.0943595 0.033538 0.0943595
head 650.872 0.0285273 -0.112965 0.993189 0.637687 0.0431309 0.0826493 0.0431309
hip 650.872 0.0544487 -0.104402 0.993044 0.58264 -0.0112953 -0.0222 -0.0112953
lHand 650.872 0.384406 -0.253185 0.887766 -0.0546835 0.366638 -0.92635 0.366638
rHand 650.872 -0.239967 -0.293783 0.925261 -0.0834856 0.35656 -0.923023 0.35656
lFoot 650.872 0.740414 -0.613637 0.274293 -0.985557 0.0626114 -0.0798184 0.0626114
rFoot 650.872 -0.433792 -0.746966 0.503852 -0.981302 0.0944296 0.0335544 0.0944296
head 650.883 0.0284969 -0.112994 0.993187 0.637784 0.042821 0.082656 0.042821
hip 650.883 0.0544113 -0.1048 0.993004 0.582123 -0.0112491 -0.0220211 -0.0112491
lHand 650.883 0.384655 -0.253791 0.887486 -0.0531221 0.364477 -0.927292 0.364477
rHand 650.883 -0.239972 -0.29387 0.925232 -0.085137 0.353978 -0.923744 0.353978
lFoot 650.883 0.740719 -0.613256 0.274323 -0.98555 0.0623695 -0.0798244 0.0623695
rFoot 650.883 -0.434086 -0.746566 0.504191 -0.981272 0.0945412 0.0336079 0.0945412
head 650.894 0.0284376 -0.1131 0.993177 0.637893 0.0425092 0.0826474 0.0425092
hip 650.894 0.054449 -0.104988 0.992982 0.581904 -0.0113639 -0.0218878 -0.0113639
lHand 650.894 0.385377 -0.254383 0.887003 -0.0521291 0.362892 -0.927991 0.362892
rHand 650.894 -0.239938 -0.294409 0.925069 -0.0864004 0.353038 -0.92386 0.353038
lFoot 650.894 0.740631 -0.613407 0.274223 -0.985541 0.0625096 -0.0797188 0.0625096
rFoot 650.894 -0.434412 -0.746497 0.504013 -0.981252 0.0947371 0.0336325 0.0947371
head 650.907 0.0283722 -0.113184 0.993169 0.638039 0.0422143 0.082667 0.0422143
hip 650.907 0.0545002 -0.105061 0.992971 0.581844 -0.0115642 -0.0220896 -0.0115642
lHand 650.907 0.385584 -0.254879 0.886771 -0.0504904 0.360897 -0.928916 0.360897
rHand 650.907 -0.240079 -0.294298 0.925068 -0.08651 0.354365 -0.923505 0.354365
lFoot 650.907 0.740614 -0.613417 0.274246 -0.985543 0.0624151 -0.0796153 0.0624151
rFoot 650.907 -0.434291 -0.746419 0.504232 -0.981229 0.0948769 0.0336036 0.0948769
head 650.917 0.0282825 -0.113309 0.993157 0.638303 0.0419364 0.0827457 0.0419364
hip 650.917 0.0546019 -0.105288 0.992942 0.581704 -0.0118183 -0.0222821 -0.0118183
lHand 650.917 0.385735 -0.255259 0.886595 -0.0488764 0.358979 -0.929847 0.358979
rHand 650.917 -0.240308 -0.294444 0.924962 -0.0869166 0.354934 -0.923384 0.354934
lFoot 650.917 0.740311 -0.613779 0.274252 -0.985521 0.0624082 -0.0796289 0.0624082
rFoot 650.917 -0.43405 -0.746505 0.504312 -0.981194 0.0950532 0.0335235 0.0950532
head 650.928 0.028148 -0.113348 0.993157 0.638489 0.0416444 0.0828395 0.0416444
hip 650.928 0.0546844 -0.105531 0.992911 0.581362 -0.012023 -0.0225622 -0.012023
lHand 650.928 0.385676 -0.255397 0.886581 -0.0476282 0.357298 -0.930678 0.357298
rHand 650.928 -0.240638 -0.294315 0.924917 -0.0861371 0.354879 -0.923623 0.354879
lFoot 650.928 0.740256 -0.613801 0.274351 -0.985504 0.0626474 -0.0796206 0.0626474
rFoot 650.928 -0.434121 -0.746406 0.504398 -0.981177 0.0951846 0.0335552 0.0951846
head 650.939 0.0280603 -0.113369 0.993157 0.638818 0.0412511 0.0828978 0.0412511
hip 650.939 0.0547247 -0.105769 0.992884 0.580949 -0.0121427 -0.0229091 -0.0121427
lHand 650.939 0.385756 -0.255672 0.886467 -0.0466447 0.355576 -0.931509 0.355576
rHand 650.939 -0.240769 -0.294224 0.924912 -0.0850925 0.35406 -0.924161 0.35406
lFoot 650.939 0.740416 -0.613723 0.274095 -0.985482 0.0627771 -0.0796169 0.0627771
rFoot 650.939 -0.434154 -0.746241 0.504613 -0.981142 0.0952917 0.0336269 0.0952917
head 650.95 0.0279687 -0.11349 0.993146 0.639183 0.0408978 0.0830054 0.0408978
hip 650.95 0.0548598 -0.105943 0.992858 0.580748 -0.0123974 -0.0229361 -0.0123974
lHand 650.95 0.385785 -0.25579 0.88642 -0.0464309 0.354012 -0.93228 0.354012
rHand 650.95 -0.240966 -0.294436 0.924794 -0.0843952 0.353069 -0.924706 0.353069
lFoot 650.95 0.740132 -0.613928 0.274403 -0.985477 0.0628334 -0.0794383 0.0628334
rFoot 650.95 -0.434371 -0.746014 0.504762 -0.981097 0.0955059 0.0336982 0.0955059
head 650.961 0.0279319 -0.113534 0.993141 0.639467 0.040521 0.0831721 0.040521
hip 650.961 0.0549253 -0.106024 0.992845 0.580737 -0.012493 -0.0230632 -0.012493
lHand 650.961 0.38445 -0.254107 0.887484 -0.0462515 0.352385 -0.933039 0.352385
rHand 650.961 -0.240833 -0.294494 0.92481 -0.0834367 0.351018 -0.925819 0.351018
lFoot 650.961 0.740188 -0.613846 0.274435 -0.985471 0.0626522 -0.0793978 0.0626522
