tag time posX posY posZ rotX rotY rotZ rotW
head 2234.58 0.0918529 0.264144 0.960099 0.566526 0.0145029 -0.0102233 0.0145029
hip 2234.58 0.16782 0.461256 0.871252 0.589715 -0.0205385 0.000329986 -0.0205385
lHand 2234.58 0.3317 0.458609 0.824411 0.378051 0.390064 -0.763953 0.390064
rHand 2234.58 -0.0941505 0.505997 0.857381 0.33075 -0.414087 0.826098 -0.414087
lFoot 2234.58 0.470112 0.874855 0.116718 -0.980536 -0.122439 -0.0297726 -0.122439
rFoot 2234.58 -0.00751991 0.992677 0.120567 -0.984202 -0.0134531 0.0591017 -0.0134531
head 2234.59 0.0917157 0.264327 0.960062 0.566596 0.014492 -0.0103893 0.014492
hip 2234.59 0.16763 0.461464 0.871178 0.58945 -0.0206231 0.000268313 -0.0206231
lHand 2234.59 0.331445 0.458105 0.824793 0.378526 0.388379 -0.764216 0.388379
rHand 2234.59 -0.0943488 0.505895 0.85742 0.333363 -0.41408 0.825245 -0.41408
lFoot 2234.59 0.47007 0.874883 0.116678 -0.980562 -0.122304 -0.0298604 -0.122304
rFoot 2234.59 -0.00744382 0.992682 0.120524 -0.984238 -0.0132943 0.0589557 -0.0132943
head 2234.6 0.091522 0.264576 0.960012 0.566652 0.0144879 -0.0104305 0.0144879
hip 2234.6 0.167594 0.461544 0.871143 0.589171 -0.0207228 0.000342875 -0.0207228
lHand 2234.6 0.331176 0.457874 0.82503 0.379296 0.386703 -0.764175 0.386703
rHand 2234.6 -0.0947954 0.506051 0.857278 0.337919 -0.412779 0.823788 -0.412779
lFoot 2234.6 0.470064 0.874894 0.116624 -0.980536 -0.122579 -0.0297954 -0.122579
rFoot 2234.6 -0.00740142 0.992685 0.12051 -0.98426 -0.0132166 0.0588294 -0.0132166
head 2234.62 0.0913658 0.264754 0.959978 0.566618 0.0144926 -0.0106878 0.0144926
hip 2234.62 0.167494 0.461614 0.871125 0.588826 -0.0207254 0.00025927 -0.0207254
lHand 2234.62 0.331022 0.457382 0.825364 0.379965 0.385288 -0.764037 0.385288
rHand 2234.62 -0.0948697 0.506165 0.857203 0.338284 -0.412373 0.824133 -0.412373
lFoot 2234.62 0.470029 0.874912 0.116624 -0.980505 -0.122815 -0.0297779 -0.122815
rFoot 2234.62 -0.00746839 0.992684 0.120509 -0.984247 -0.0131772 0.0589075 -0.0131772
head 2234.63 0.091243 0.264933 0.95994 0.566652 0.0143328 -0.0108982 0.0143328
hip 2234.63 0.167376 0.461722 0.87109 0.588573 -0.0208156 0.000122584 -0.0208156
lHand 2234.63 0.330858 0.457001 0.825641 0.381152 0.384046 -0.763384 0.384046
rHand 2234.63 -0.0949601 0.506267 0.857133 0.338146 -0.412168 0.824184 -0.412168
lFoot 2234.63 0.470007 0.874933 0.11656 -0.98052 -0.122777 -0.0297299 -0.122777
rFoot 2234.63 -0.00748039 0.992685 0.120497 -0.984242 -0.0129222 0.0589242 -0.0129222
head 2234.64 0.0911156 0.26512 0.959901 0.566638 0.0141038 -0.0111703 0.0141038
hip 2234.64 0.167224 0.461873 0.87104 0.588244 -0.0208961 0.00017967 -0.0208961
lHand 2234.64 0.330682 0.456779 0.825834 0.382397 0.382696 -0.76285 0.382696
rHand 2234.64 -0.0944022 0.506587 0.857005 0.334126 -0.412547 0.826144 -0.412547
lFoot 2234.64 0.47011 0.874875 0.116572 -0.980513 -0.122928 -0.0296822 -0.122928
rFoot 2234.64 -0.00738166 0.99269 0.120468 -0.984253 -0.0129299 0.0587698 -0.0129299
head 2234.65 0.0909817 0.265332 0.959855 0.566733 0.013804 -0.0113582 0.013804
hip 2234.65 0.167098 0.461987 0.871003 0.587999 -0.020914 3.57577e-05 -0.020914
lHand 2234.65 0.330465 0.456506 0.826072 0.383364 0.381378 -0.76254 0.381378
rHand 2234.65 -0.0939793 0.506798 0.856927 0.331301 -0.413253 0.827255 -0.413253
lFoot 2234.65 0.470063 0.874905 0.116545 -0.980535 -0.122732 -0.029771 -0.122732
rFoot 2234.65 -0.00719012 0.992698 0.120409 -0.984253 -0.0133234 0.0586491 -0.0133234
head 2234.66 0.0908754 0.265519 0.959813 0.566802 0.0135025 -0.0116895 0.0135025
hip 2234.66 0.166922 0.462115 0.870969 0.587732 -0.020961 -0.000193472 -0.020961
lHand 2234.66 0.330394 0.456379 0.82617 0.38432 0.379933 -0.762383 0.379933
rHand 2234.66 -0.0933508 0.506994 0.856879 0.328778 -0.414152 0.828086 -0.414152
lFoot 2234.66 0.470003 0.874951 0.11644 -0.980591 -0.122359 -0.0297783 -0.122359
rFoot 2234.66 -0.00729177 0.992715 0.120261 -0.984262 -0.0135321 0.0586723 -0.0135321
head 2234.67 0.0907428 0.265755 0.959761 0.566824 0.0131308 -0.0119774 0.0131308
hip 2234.67 0.166622 0.46239 0.87088 0.587473 -0.0209893 -0.000203514 -0.0209893
lHand 2234.67 0.330227 0.4564 0.826226 0.385409 0.378573 -0.762164 0.378573
rHand 2234.67 -0.0930475 0.507471 0.85663 0.3266 -0.41467 0.828927 -0.41467
lFoot 2234.67 0.469894 0.875025 0.116325 -0.980639 -0.122146 -0.029639 -0.122146
rFoot 2234.67 -0.00739989 0.992733 0.120109 -0.984221 -0.0138857 0.05875 -0.0138857
head 2234.68 0.0906156 0.265967 0.959714 0.566943 0.0127945 -0.0122926 0.0127945
hip 2234.68 0.166492 0.462508 0.870843 0.587178 -0.0208584 -0.00012213 -0.0208584
lHand 2234.68 0.330124 0.456253 0.826348 0.386344 0.377568 -0.761836 0.377568
rHand 2234.68 -0.0928312 0.507867 0.856419 0.324766 -0.415085 0.82958 -0.415085
lFoot 2234.68 0.469757 0.875118 0.116176 -0.980626 -0.122117 -0.0295851 -0.122117
rFoot 2234.68 -0.00731423 0.992758 0.119905 -0.984234 -0.0142355 0.0585837 -0.0142355
head 2234.69 0.0905359 0.266106 0.959683 0.566908 0.0123742 -0.0125589 0.0123742
hip 2234.69 0.16637 0.462637 0.870797 0.586909 -0.020845 -4.21745e-05 -0.020845
lHand 2234.69 0.32998 0.455985 0.826554 0.38705 0.376573 -0.76169 0.376573
rHand 2234.69 -0.0927033 0.508248 0.856207 0.324066 -0.414906 0.830035 -0.414906
lFoot 2234.69 0.469722 0.875144 0.11612 -0.980656 -0.121905 -0.0296344 -0.121905
rFoot 2234.69 -0.00723766 0.992768 0.119831 -0.984214 -0.0143393 0.0585046 -0.0143393
head 2234.7 0.0904927 0.266145 0.959676 0.566772 0.0119416 -0.0129072 0.0119416
hip 2234.7 0.166035 0.462921 0.87071 0.586769 -0.0207723 -4.16264e-05 -0.0207723
lHand 2234.7 0.329799 0.45596 0.82664 0.387464 0.375871 -0.761664 0.375871
rHand 2234.7 -0.0926909 0.508478 0.856072 0.325751 -0.414369 0.829614 -0.414369
lFoot 2234.7 0.469579 0.875243 0.115959 -0.98066 -0.12182 -0.0296599 -0.12182
rFoot 2234.7 -0.00721436 0.992791 0.119641 -0.98419 -0.0147169 0.0585078 -0.0147169
head 2234.72 0.0903896 0.266275 0.95965 0.56658 0.0115397 -0.0133142 0.0115397
hip 2234.72 0.165937 0.463113 0.870627 0.586806 -0.0206409 6.11721e-05 -0.0206409
lHand 2234.72 0.329632 0.455978 0.826696 0.38777 0.375337 -0.761569 0.375337
rHand 2234.72 -0.0929894 0.508916 0.855779 0.328732 -0.413133 0.828896 -0.413133
lFoot 2234.72 0.469411 0.875364 0.11572 -0.980674 -0.121738 -0.0294268 -0.121738
rFoot 2234.72 -0.00714916 0.992837 0.119263 -0.984143 -0.0150375 0.0585261 -0.0150375
head 2234.73 0.0903067 0.266377 0.959629 0.566399 0.0111019 -0.0136102 0.0111019
hip 2234.73 0.165733 0.46319 0.870625 0.586479 -0.020692 -2.86885e-05 -0.020692
lHand 2234.73 0.329387 0.456041 0.826759 0.387964 0.375064 -0.761589 0.375064
rHand 2234.73 -0.0939212 0.509425 0.855374 0.33528 -0.411427 0.826558 -0.411427
lFoot 2234.73 0.469288 0.875456 0.115518 -0.980638 -0.121815 -0.0294169 -0.121815
rFoot 2234.73 -0.00712259 0.99286 0.119073 -0.984126 -0.0152521 0.0585287 -0.0152521
head 2234.74 0.090219 0.266487 0.959607 0.566248 0.0107346 -0.0139636 0.0107346
hip 2234.74 0.16551 0.463254 0.870633 0.586107 -0.020718 -0.000110867 -0.020718
lHand 2234.74 0.329369 0.456065 0.826753 0.388423 0.374614 -0.761341 0.374614
rHand 2234.74 -0.0942891 0.509727 0.855154 0.338899 -0.410642 0.825199 -0.410642
lFoot 2234.74 0.46942 0.8754 0.115409 -0.98058 -0.122113 -0.0294995 -0.122113
rFoot 2234.74 -0.00703482 0.992879 0.118922 -0.984093 -0.0155899 0.0585087 -0.0155899
head 2234.75 0.0900564 0.266624 0.959584 0.566072 0.0105399 -0.0143528 0.0105399
hip 2234.75 0.165421 0.463287 0.870633 0.585692 -0.0203896 0.000230726 -0.0203896
lHand 2234.75 0.329101 0.456228 0.82677 0.388504 0.374975 -0.76109 0.374975
rHand 2234.75 -0.0946551 0.510209 0.854826 0.340259 -0.410547 0.824757 -0.410547
lFoot 2234.75 0.469165 0.875549 0.115319 -0.980687 -0.121187 -0.0294524 -0.121187
rFoot 2234.75 -0.00684222 0.992895 0.118799 -0.984062 -0.0159495 0.0585014 -0.0159495
head 2234.76 0.0899555 0.266701 0.959572 0.566021 0.0102977 -0.0146879 0.0102977
hip 2234.76 0.165299 0.463365 0.870614 0.58545 -0.0197908 0.000557081 -0.0197908
lHand 2234.76 0.328796 0.456558 0.826709 0.388434 0.374904 -0.761243 0.374904
rHand 2234.76 -0.0943704 0.510394 0.854747 0.33777 -0.412799 0.825054 -0.412799
lFoot 2234.76 0.469114 0.875585 0.115254 -0.980756 -0.120646 -0.0295585 -0.120646
rFoot 2234.76 -0.0068343 0.992896 0.11879 -0.984023 -0.0161305 0.0586566 -0.0161305
head 2234.77 0.0898644 0.266893 0.959527 0.565968 0.0100016 -0.0149686 0.0100016
hip 2234.77 0.165167 0.46335 0.870648 0.585084 -0.0195736 0.000550675 -0.0195736
lHand 2234.77 0.328737 0.456874 0.826558 0.38822 0.375048 -0.761342 0.375048
rHand 2234.77 -0.0940674 0.510848 0.854509 0.337166 -0.414227 0.824893 -0.414227
lFoot 2234.77 0.469055 0.875618 0.115239 -0.980798 -0.120296 -0.0296315 -0.120296
rFoot 2234.77 -0.00680885 0.99289 0.118841 -0.984026 -0.0166126 0.0587561 -0.0166126
head 2234.78 0.0896972 0.267033 0.959504 0.565998 0.00983069 -0.0150855 0.00983069
hip 2234.78 0.164899 0.46332 0.870714 0.584648 -0.0195041 0.000192265 -0.0195041
lHand 2234.78 0.328498 0.457145 0.826503 0.388186 0.375262 -0.761217 0.375262
rHand 2234.78 -0.0935314 0.511251 0.854327 0.336711 -0.416101 0.824487 -0.416101
lFoot 2234.78 0.468948 0.875664 0.115324 -0.980828 -0.119982 -0.029863 -0.119982
rFoot 2234.78 -0.00684258 0.992891 0.11883 -0.984033 -0.0166486 0.0586394 -0.0166486
head 2234.79 0.0895707 0.267159 0.959481 0.566004 0.00951261 -0.0152405 0.00951261
hip 2234.79 0.164751 0.46332 0.870742 0.584281 -0.0193599 9.82312e-05 -0.0193599
lHand 2234.79 0.328275 0.457422 0.826439 0.387976 0.375518 -0.761206 0.375518
rHand 2234.79 -0.0934709 0.511839 0.853981 0.335422 -0.417355 0.8247 -0.417355
lFoot 2234.79 0.468961 0.87566 0.115304 -0.98079 -0.120224 -0.029981 -0.120224
rFoot 2234.79 -0.00694455 0.992891 0.118821 -0.984065 -0.0166799 0.0584632 -0.0166799
head 2234.8 0.0894391 0.267285 0.959458 0.566036 0.00928884 -0.015395 0.00928884
hip 2234.8 0.164646 0.463132 0.870862 0.584154 -0.0197034 -0.000362802 -0.0197034
lHand 2234.8 0.32813 0.45781 0.826281 0.388033 0.375488 -0.761137 0.375488
rHand 2234.8 -0.0930063 0.512329 0.853738 0.332448 -0.418604 0.825612 -0.418604
lFoot 2234.8 0.468955 0.875667 0.115274 -0.980714 -0.120767 -0.0299133 -0.120767
rFoot 2234.8 -0.006936 0.992899 0.118757 -0.984076 -0.0170068 0.0584124 -0.0170068
head 2234.82 0.0893103 0.267453 0.959423 0.566078 0.00887081 -0.0154687 0.00887081
hip 2234.82 0.164348 0.463271 0.870844 0.583948 -0.0196901 -0.0004249 -0.0196901
lHand 2234.82 0.327879 0.458206 0.826161 0.388058 0.375568 -0.761046 0.375568
rHand 2234.82 -0.0927565 0.512856 0.853449 0.330347 -0.419538 0.826137 -0.419538
lFoot 2234.82 0.468837 0.875735 0.115237 -0.980643 -0.121171 -0.0299307 -0.121171
rFoot 2234.82 -0.0069997 0.992894 0.118796 -0.984113 -0.0171068 0.0583881 -0.0171068
head 2234.83 0.0892565 0.267541 0.959403 0.566151 0.00847733 -0.0154906 0.00847733
hip 2234.83 0.164241 0.463197 0.870904 0.58381 -0.0199415 -0.000572929 -0.0199415
lHand 2234.83 0.327738 0.458437 0.82609 0.388192 0.375805 -0.760809 0.375805
rHand 2234.83 -0.0926658 0.513354 0.853159 0.328597 -0.420188 0.826182 -0.420188
