tag time posX posY posZ rotX rotY rotZ rotW
head 174.79 -0.190421 0.0253415 0.981375 0.701166 -0.0162227 -0.0101076 -0.0162227
hip 174.79 -0.307354 0.0951663 0.946824 0.55946 0.00462549 -0.00856848 0.00462549
lHand 174.79 0.102808 -0.0726951 0.992041 0.144098 0.462887 -0.864015 0.462887
rHand 174.79 -0.63184 0.00471883 0.775084 0.0601417 -0.535633 0.841153 -0.535633
lFoot 174.79 -0.78685 0.529785 0.316536 -0.983048 -0.0390303 -0.059665 -0.0390303
rFoot 174.79 -0.975184 0.175072 0.135523 -0.986938 -0.00326806 0.0458575 -0.00326806
head 174.801 -0.190366 0.025384 0.981385 0.701212 -0.016266 -0.0102393 -0.016266
hip 174.801 -0.307228 0.0950433 0.946878 0.559184 0.00455661 -0.00887994 0.00455661
lHand 174.801 0.102602 -0.0724698 0.992079 0.143788 0.463397 -0.863799 0.463397
rHand 174.801 -0.631899 0.00517899 0.775033 0.0604216 -0.535534 0.841202 -0.535534
lFoot 174.801 -0.786871 0.529742 0.316555 -0.983055 -0.038959 -0.0596866 -0.038959
rFoot 174.801 -0.975194 0.17501 0.135526 -0.98695 -0.00345235 0.0458517 -0.00345235
head 174.812 -0.190276 0.0253738 0.981403 0.701144 -0.016125 -0.0103403 -0.016125
hip 174.812 -0.307146 0.0951181 0.946897 0.55876 0.00445031 -0.00897031 0.00445031
lHand 174.812 0.102533 -0.0718819 0.992129 0.14346 0.463788 -0.863658 0.463788
rHand 174.812 -0.631917 0.00552514 0.775016 0.0606058 -0.535479 0.841226 -0.535479
lFoot 174.812 -0.787021 0.529937 0.315857 -0.983057 -0.0390098 -0.0597581 -0.0390098
rFoot 174.812 -0.975262 0.174797 0.135318 -0.986957 -0.00336456 0.04586 -0.00336456
head 174.824 -0.190194 0.0253756 0.981419 0.701209 -0.0159892 -0.0104113 -0.0159892
hip 174.824 -0.307395 0.0958086 0.946747 0.55837 0.0044871 -0.00885851 0.0044871
lHand 174.824 0.102456 -0.071294 0.992179 0.14319 0.464289 -0.863456 0.464289
rHand 174.824 -0.632269 0.00579653 0.774727 0.061939 -0.534608 0.841676 -0.534608
lFoot 174.824 -0.786957 0.530023 0.315871 -0.98307 -0.038844 -0.0596939 -0.038844
rFoot 174.824 -0.975286 0.174725 0.135236 -0.98696 -0.00326191 0.0459816 -0.00326191
head 174.834 -0.190055 0.0253871 0.981445 0.701201 -0.0158153 -0.010565 -0.0158153
hip 174.834 -0.307247 0.0957814 0.946798 0.55779 0.00459552 -0.0084066 0.00459552
lHand 174.834 0.102182 -0.0706559 0.992253 0.142855 0.464789 -0.86326 0.464789
rHand 174.834 -0.632463 0.00607709 0.774567 0.064012 -0.533621 0.842115 -0.533621
lFoot 174.834 -0.786816 0.530218 0.315895 -0.983086 -0.0387735 -0.0596414 -0.0387735
rFoot 174.834 -0.975278 0.174785 0.135217 -0.986967 -0.00344133 0.0459687 -0.00344133
head 174.846 -0.189941 0.0253948 0.981467 0.701207 -0.0156571 -0.0106878 -0.0156571
hip 174.846 -0.307126 0.0956299 0.946852 0.557373 0.00460926 -0.00841543 0.00460926
lHand 174.846 0.102142 -0.0701156 0.992296 0.142333 0.465146 -0.863156 0.465146
rHand 174.846 -0.632683 0.0063748 0.774384 0.0656387 -0.532927 0.842403 -0.532927
lFoot 174.846 -0.786847 0.530163 0.315911 -0.983074 -0.0387958 -0.05968 -0.0387958
rFoot 174.846 -0.975269 0.174816 0.135239 -0.986966 -0.0034501 0.0460001 -0.0034501
head 174.857 -0.189871 0.0254029 0.98148 0.701307 -0.0155917 -0.0106227 -0.0155917
hip 174.857 -0.307237 0.0960381 0.946774 0.556932 0.00466257 -0.00861104 0.00466257
lHand 174.857 0.102085 -0.0695972 0.992338 0.141957 0.46548 -0.863038 0.46548
rHand 174.857 -0.632784 0.00681463 0.774299 0.067458 -0.532224 0.842657 -0.532224
lFoot 174.857 -0.786701 0.530243 0.316139 -0.983087 -0.0386862 -0.0595659 -0.0386862
rFoot 174.857 -0.975232 0.174942 0.135345 -0.986979 -0.00322841 0.046119 -0.00322841
